Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"10/SYB",7.716119398362934e-4,7.687270750291645e-4,7.784307111985982e-4,1.0923461450034153e-5,5.423441880259855e-6,2.0071416682665427e-5
"10/Uni",1.503869918407872e-4,1.49658623081632e-4,1.517567065777257e-4,2.514617935671846e-6,1.4484838256349588e-6,3.986132385671454e-6
"11/TYB",2.0226242337375878e-4,2.006793240085244e-4,2.0573379788547754e-4,5.78465252706286e-6,2.8331712227351694e-6,9.848091942801437e-6
"11/Hand",2.0702322687332828e-4,2.0617763564611478e-4,2.0818988845373195e-4,2.5792820401755765e-6,2.0250536128716238e-6,3.511377849663825e-6
"11/SYB",2.0801711300387975e-3,1.994826815463603e-3,2.2390532711520795e-3,2.957389785033126e-4,1.5622798147360946e-4,4.4179616391615555e-4
"11/Uni",4.483882658804456e-4,4.4671933582673463e-4,4.5034647714346646e-4,4.701581512358073e-6,4.052401564911475e-6,5.488792542197557e-6
"12/TYB",3.1836273465305566e-4,3.1651260647922754e-4,3.2285454068332913e-4,6.9738690998026045e-6,3.250779986764707e-6,1.243153429902447e-5
"12/Hand",3.901451880577952e-4,3.872817809227855e-4,3.9437473365105686e-4,8.963289458123093e-6,6.531435345023129e-6,1.280979163449415e-5
"12/SYB",3.3551955441012975e-3,3.3415770748630165e-3,3.3751464108005167e-3,4.2323378693010125e-5,2.9999061336279716e-5,6.027854002757884e-5
"12/Uni",8.556449522264302e-4,8.487928022630513e-4,8.736693968065085e-4,2.678222077267832e-5,9.795162143292508e-6,5.128827950318445e-5
"13/TYB",2.8671982083469633e-4,2.8533699307590717e-4,2.896285274997353e-4,4.97547072284441e-6,1.9082424930347195e-6,7.719916032476547e-6
"13/Hand",3.4182489463128145e-4,3.3970058509148656e-4,3.4480751105584205e-4,6.501186562008413e-6,4.995364727519728e-6,9.601663860487973e-6
"13/SYB",2.707364580966532e-3,2.6966452816501265e-3,2.7226805904880164e-3,3.292986400082791e-5,2.3480873384394526e-5,4.5434604003311016e-5
"13/Uni",7.240045179612934e-4,7.134950269944966e-4,7.541263212449849e-4,4.24219702663928e-5,1.684110999423474e-5,8.574747537605633e-5
"14/TYB",1.1127235684543847e-4,1.1084320340305569e-4,1.1230232510715722e-4,1.6022012344752733e-6,4.029673682558448e-7,2.90662138353433e-6
"14/Hand",1.2026953915134073e-4,1.1986422756686808e-4,1.2100386837497355e-4,1.3866542894802102e-6,8.766403999645191e-7,2.2266227536312393e-6
"14/SYB",1.10800148146227e-3,1.1004579176194964e-3,1.1259400953538715e-3,2.8053426985880017e-5,6.846104843107338e-6,4.925132050260879e-5
"14/Uni",2.2405426070714989e-4,2.2293210392817858e-4,2.2604108219966297e-4,3.77003448679632e-6,2.275438342362495e-6,6.4795842720957735e-6
"15/TYB",1.2964966092258694e-4,1.2692215237766503e-4,1.3620140347629783e-4,1.0223774908607998e-5,3.857963296159513e-6,1.781765917602842e-5
"15/Hand",1.3540665550778312e-4,1.3478570756398966e-4,1.3618337025658953e-4,1.809513098916555e-6,1.496607569334984e-6,2.2365969445437505e-6
"15/SYB",1.202371142245829e-3,1.1874938229098915e-3,1.2550139645114541e-3,6.584083206927415e-5,1.4433240630386828e-5,1.3772836003520737e-4
"15/Uni",2.5031614739447845e-4,2.493720098212362e-4,2.515006108954549e-4,2.7524190157451367e-6,2.2109172453766197e-6,3.241245413228035e-6
"16/TYB",3.294825771823525e-4,3.2688858304172753e-4,3.3422233853489154e-4,8.910094978043664e-6,5.226898021676651e-6,1.3444193739237449e-5
"16/Hand",4.0162325631827123e-4,3.9821228117992483e-4,4.0649971098949514e-4,1.0589466554163823e-5,7.649879582072487e-6,1.3747394357127056e-5
"16/SYB",3.1614184597507115e-3,3.141057513095438e-3,3.195016405917704e-3,6.653101955524453e-5,4.403526183129057e-5,1.0895038829117517e-4
"16/Uni",9.347331632860004e-4,9.252727140672507e-4,9.569060911424459e-4,3.506494055098632e-5,8.710607914172121e-6,6.092987722435888e-5
"17/TYB",2.0514251980930563e-4,2.0401718411594628e-4,2.0807029996067287e-4,4.316781098111526e-6,1.197880365524731e-6,8.029905652897998e-6
"17/Hand",2.0835996037349105e-4,2.0758112634842597e-4,2.0954887435461084e-4,2.475653991342862e-6,1.78346493889559e-6,3.62353756363577e-6
"17/SYB",1.9293475368991494e-3,1.922385714389384e-3,1.9387698391452432e-3,2.089363095372556e-5,1.5904491031607077e-5,2.9215541978639005e-5
"17/Uni",4.6027104786286753e-4,4.581697854523857e-4,4.627633167430758e-4,5.932374390583273e-6,5.000072510627614e-6,7.989681596212745e-6
"18/TYB",1.241088131442666e-4,1.2365104947239158e-4,1.254058102145791e-4,1.8420053397864058e-6,5.144908685569609e-7,3.567658738339369e-6
"18/Hand",1.3426330596622496e-4,1.335512291433083e-4,1.353430772200227e-4,2.2439927585058026e-6,1.6337660502816001e-6,3.365179061791893e-6
"18/SYB",1.1941027859225868e-3,1.177651903964579e-3,1.2175822475925086e-3,5.070142108126461e-5,3.722288002735737e-5,6.440608476235683e-5
"18/Uni",2.6391554314643146e-4,2.6020765740424393e-4,2.6747274834662674e-4,9.468879439780407e-6,8.1286042154462e-6,1.1525987940338836e-5
"19/TYB",4.1179260344554976e-5,4.082735452180108e-5,4.160205595816175e-5,9.99770154380662e-7,7.834081234857456e-7,1.2808700240949664e-6
"19/Hand",3.9882899057120075e-5,3.970297250275812e-5,4.0148338408519823e-5,5.661703641711536e-7,4.0605317216213987e-7,7.76070956027307e-7
"19/SYB",3.256529624108225e-4,3.2396734305657445e-4,3.2805860587395723e-4,5.207944254550779e-6,3.867903646921767e-6,6.85359077596159e-6
"19/Uni",7.089707707572316e-5,6.887051915335988e-5,7.573432513616151e-5,7.575801154635858e-6,1.8426019559894672e-6,1.3451298835333792e-5
"20/TYB",1.3088943753391505e-4,1.2936355862766503e-4,1.3448478970676657e-4,5.802607325322411e-6,2.8415187300195718e-6,1.0009246221253185e-5
"20/Hand",1.357807077674402e-4,1.3517459475745756e-4,1.3658921166012685e-4,1.8159234450531984e-6,1.3711877075449919e-6,2.3872268771359e-6
"20/SYB",1.2122893551364542e-3,1.205403826572001e-3,1.2225508907809856e-3,2.1728480095189135e-5,1.552789657206772e-5,3.455787453893032e-5
"20/Uni",2.2670448371209204e-4,2.2538126059807838e-4,2.2839725562371314e-4,3.897262662259158e-6,3.2117576283165823e-6,5.0089030783958125e-6
"21/TYB",2.948928097262978e-4,2.9345276150852435e-4,2.983165005221963e-4,5.3316102094817474e-6,1.1012082465927615e-6,9.473981571409376e-6
"21/Hand",3.649658019188791e-4,3.633922392968088e-4,3.67218857491389e-4,4.877628150277705e-6,3.492179455378255e-6,6.732913868569786e-6
"21/SYB",2.9915499905124312e-3,2.9815650204196567e-3,3.003470919467509e-3,2.8432662604631805e-5,2.331438302646898e-5,3.487130981435878e-5
"21/Uni",7.443881252780556e-4,7.405734280124308e-4,7.505870083346964e-4,1.2461030154904552e-5,7.971147636726184e-6,1.642466958469415e-5
"22/TYB",1.3273212886932825e-5,1.3228284230248798e-5,1.3350354542748796e-5,1.5015900151166327e-7,9.974022725268412e-8,2.22210625581661e-7
"22/Hand",1.347689170892654e-5,1.3418171088096133e-5,1.355811475744743e-5,1.7688168803916838e-7,1.3871333188967755e-7,2.5677674994508396e-7
"22/SYB",9.999891303790113e-5,9.97350631436954e-5,1.0044396105222404e-4,8.728781652529953e-7,5.269036613459858e-7,1.1985601174419199e-6
"22/Uni",2.1472786543225604e-5,2.1345913799346558e-5,2.1706436750745137e-5,4.3709026884741414e-7,2.698090359636649e-7,7.223558638786344e-7
"23/TYB",2.4118187222629787e-4,2.390456417575478e-4,2.442908504977822e-4,6.631223223539285e-6,4.893392503684471e-6,9.126460579031516e-6
"23/Hand",2.847399755194783e-4,2.8356695611029864e-4,2.864508672431111e-4,3.651902342299467e-6,2.6210621431844145e-6,4.686141685237989e-6
"23/SYB",2.5788569668307895e-3,2.564704439975321e-3,2.6129126766696567e-3,5.376411734946243e-5,2.5924944603829036e-5,1.0104034612415731e-4
"23/Uni",5.959880460985005e-4,5.939710249193014e-4,5.986344923265279e-4,5.97886582906006e-6,4.543933293067003e-6,6.9565813157954695e-6
"24/TYB",1.220202663913369e-4,1.2115242276340722e-4,1.236319759860635e-4,3.0024021784247704e-6,1.6745970651074623e-6,4.337143489381169e-6
"24/Hand",1.3496796532223626e-4,1.3400157534827788e-4,1.361229708832171e-4,2.7439129359257533e-6,2.2303736053660497e-6,3.3920828604151175e-6
"24/SYB",1.2468791225925086e-3,1.2406611660495405e-3,1.25683548245579e-3,2.0159062783042065e-5,1.4004380728117285e-5,3.1624667524395033e-5
"24/Uni",2.547183080390096e-4,2.522044225409627e-4,2.602705999091268e-4,9.108510062433272e-6,2.2753794504873252e-6,1.45243906978365e-5
"25/TYB",2.1296264920383693e-4,2.1048309598118066e-4,2.1755935940891502e-4,8.486797252458739e-6,5.162225655477737e-6,1.334008233283824e-5
"25/Hand",2.298674627020955e-4,2.283530278876424e-4,2.3392248589545488e-4,5.999047966475344e-6,2.5076708533524383e-6,1.1765451607230846e-5
"25/SYB",1.986882708407939e-3,1.978471300937236e-3,2.002103350497782e-3,2.8722595386440857e-5,1.7916760965870428e-5,4.927313199605567e-5
"25/Uni",4.94377620331943e-4,4.912908944611749e-4,5.026237242544691e-4,1.225209995070291e-5,5.169174484458993e-6,2.413257561155242e-5
"26/TYB",7.074173887205476e-5,7.042029452893665e-5,7.11944536799017e-5,9.803344745767325e-7,7.469885640893898e-7,1.2699972440859904e-6
